,书名,作者,出版社,出版年,页数,定价,装帧,丛书,ISBN,出品方,原作名,译者,副标题,统一书号
57,许三观卖血记,余华,南海出版公司,1998-9,269,16.80元,平装,余华作品,9787544211765,,,,,
58,史记（全十册）,司马迁/张守节,中华书局,1982-11,3356,125.00,平装,点校本二十四史·清史稿,9787101003048,,,（索隐）司马贞，（正义）张守节,,
59,文学回忆录,木心 口述/陈丹青 笔录,广西师范大学出版社,2013-1-10,1102,98.00元,精装,理想国·木心作品,9787549530816,理想国,,,1989—1994,
60,悲惨世界（上中下）,[法]维克多·雨果,人民文学出版社,1992-6,1760,66.00元,平装,外国古典文学名著选粹,9787020017164,,Les Misérables,李丹/方于,,
61,卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基,上海译文出版社,2006-8,847,25.00元,平装,译文名著文库,9787532740086,,Бра́тья Карама́зовы,荣如德,,
62,上帝掷骰子吗,曹天元,辽宁教育出版社,2006-1,369,32.00元,平装,,9787538276374,磨铁图书,,,量子物理史话,
63,看见,柴静,广西师范大学出版社,2013-1-1,405,39.80元,平装,,9787549529322,理想国,,,,
64,台北人,白先勇,广西师范大学出版社,2010-10,392,38.00元,精装,理想国·白先勇作品,9787563397648,理想国,,,,
65,哭泣的骆驼,三毛,哈尔滨出版社,2003-6,222,15.80元,平装,三毛全集（华文天下2003版）,9787806399071,华文天下,,,,
66,灿烂千阳,[美]卡勒德·胡赛尼,上海人民出版社,2007-9,428,28.00元,平装,卡勒德·胡赛尼作品,9787208072107,世纪文景,A Thousand Splendid Suns,李继宏,,
67,诗经,孔丘,北京出版社,2006-7,363,19.90元,平装,家庭书架·传世经典读库,9787200065039,,,,,
68,西游记（全二册）,吴承恩/ 校注黄肃秋 ,人民文学出版社,2004-8,1198,47.20元,平装,中国古典文学读本丛书,9787020008735,,,黄肃秋 注释,,
69,浪潮之巅,吴军,电子工业出版社,2011-8,584,55.00元,平装,,9787121139512,Just-pub,,,,
70,永恒的终结,[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2014-9,264,32.00元,平装,读客外国小说文库：艾萨克·阿西莫夫作品,9787539957173,读客文化,The End of Eternity,崔正男,关于时间旅行的终极奥秘和恢宏构想,
71,窗边的小豆豆,[日] 黑柳彻子 著/岩崎千弘 图,南海出版公司,2003-1,288,20.00元,平装,新经典文库·巴学园,9787544222976,新经典文化,窓ぎわのトットちゃん,赵玉皎,,
72,罗杰疑案,[英] 阿加莎·克里斯蒂,新星出版社,2013-3,246,28.00元,平装,午夜文库·大师系列：阿加莎·克里斯蒂作品,9787513311236,,The Murder of Roger Ackroyd,常禾,阿加莎·克里斯蒂侦探作品集02,
73,悉达多,[德]赫尔曼·黑塞/ 校注丁君君 ,上海人民出版社,2009-3,157,20.00,平装,赫尔曼·黑塞作品系列,9787208081628,世纪文景,,杨玉功 译/丁君君 校,,
74,人间词话,王国维,上海古籍出版社,1998-12-01,78,9.80元,平装,蓬莱阁丛书,9787532524808,,,,,
